oferta,demanda,ndvi,poblacion,precip_anual,n_pozos,derechos_otorgados,indice
107.65,600.62,0.28,68867,94.13,450,510.53,84.6
23.5,321.87,0.28,36905,21.09,450,273.59,84.6
50.0,51.89,0.28,6389,200.0,80,44.11,68.7
7.18,223.13,0.28,25583,3.8,450,189.66,86.0
73285.12,276.91,0.78,134763,2187.9,12,235.37,4.8
84580.73,256.56,0.78,124858,2049.88,12,218.08,4.8
91538.58,214.84,0.78,104560,2090.43,12,182.61,4.8
33415.67,114.23,0.78,55596,2125.06,12,97.1,4.8
18.0,176.23,0.28,20206,28.26,450,149.8,84.3
6.23,61.76,0.28,7603,23.49,80,52.5,83.6
25202.38,291.41,0.78,723089,859.38,12,247.7,26.9
7417.16,142.48,0.78,69339,656.02,12,121.11,5.7
74388.31,175.66,0.78,85486,2565.9,12,149.31,4.8
89281.92,386.14,0.78,616204,1647.36,12,328.22,5.2
29259.15,41.38,0.78,20143,1400.53,12,35.17,4.6
5748.1,25.51,0.78,12415,2616.72,12,21.68,5.0
55157.86,217.43,0.78,105821,2131.4,12,184.82,4.9
6027.68,24.2,0.78,11777,2026.2,12,20.57,4.9
302.5,181.89,0.78,88519,2225.36,12,154.61,36.9
9581.65,132.86,0.78,64661,853.81,12,112.93,5.5
11804.23,134.42,0.78,65418,1958.04,12,114.26,5.3
574.67,77.83,0.45,36119,701.59,12,66.16,18.2
936.28,119.39,0.45,55411,769.09,12,101.48,17.8
390.36,24.87,0.45,11545,578.41,12,21.14,14.2
15677.85,93.63,0.78,45570,1264.24,12,79.59,5.0
11323.82,212.86,0.78,103597,833.12,12,180.93,44.3
8361.01,41.47,0.78,20182,1353.81,12,35.25,43.8
38277.91,154.66,0.78,75271,1916.76,12,131.46,4.8
1064.64,1694.57,0.28,194300,296.53,450,1440.38,77.3
50.0,40.0,0.28,4924,200.0,80,34.0,57.0
66.88,90.18,0.28,11104,325.62,80,76.65,72.4
50.0,0.74,0.28,91,200.0,80,0.63,14.3
30.97,58.95,0.28,7258,276.02,80,50.11,78.1
50.0,54.56,0.28,6718,200.0,80,46.38,69.7
21.64,96.41,0.28,11871,143.34,80,81.95,83.6
50.0,24.03,0.28,2958,200.0,80,20.43,39.6
31.49,53.91,0.28,6638,7.42,80,45.82,75.9
50.0,6.56,0.28,808,200.0,80,5.58,20.6
27.4,98.68,0.28,12150,8.71,80,83.88,83.7
21.67,60.24,0.28,7417,13.11,80,51.2,82.5
20.7,36.55,0.28,4499,13.26,80,31.07,74.6
50.0,17.46,0.28,2149,200.0,80,14.84,32.5
50.0,3.67,0.28,452,200.0,80,3.12,17.5
50.0,27.42,0.28,3376,200.0,80,23.31,43.3
50.0,5.28,0.28,649,200.0,80,4.49,19.2
50.0,5.43,0.28,668,200.0,80,4.62,19.4
50.0,15.68,0.28,1929,200.0,80,13.33,30.5
5.26,69.64,0.28,8574,3.58,80,59.19,83.6
11.75,116.12,0.28,14298,2.81,450,98.7,83.6
85.78,223.03,0.28,25572,206.47,450,189.58,82.4
50.0,0.16,0.78,76,200.0,12,0.14,4.7
0.33,319.15,0.28,36593,32.13,450,271.28,84.9
842.34,587.88,0.2,67406,438.47,1200,499.7,65.8
173.57,276.74,0.28,31731,398.69,450,235.23,77.3
0.0,136.56,0.28,1010073,10.52,450,116.08,83.7
7.08,20.46,0.28,2518,20.9,80,17.39,79.7
5.68,88.98,0.28,10956,51.86,80,75.63,83.7
13.88,87.76,0.28,10805,10.91,80,74.6,83.6
50.0,83.94,0.45,38953,200.0,1200,71.35,81.3
50.0,28.14,0.45,13058,200.0,1200,23.92,60.4
